Тверская область,100.0,6.4,0.1,18.6,6.9,0.7,4.7,15.1,7.6,1.4,2.5,0.2,12.4,3.6,2.6,7.1,3.6,5.1,1.0,0.4,0.0
Тульская область,100.0,7.4,0.5,38.4,3.5,0.5,6.3,9.0,4.5,0.8,2.3,0.3,10.4,2.2,1.4,4.2,2.8,4.1,0.9,0.5,0.0
Ярославская область,100.0,3.3,0.2,27.4,2.9,0.8,5.0,14.9,11.6,1.2,2.4,0.2,11.1,2.2,2.3,4.8,3.3,4.7,1.2,0.5,0.0
г. Москва,100.0,0.1,0.0,15.7,2.7,0.4,4.0,26.1,6.7,0.8,6.6,1.3,11.7,8.5,3.2,5.1,2.1,3.0,1.3,0.7,0.0
Северо-Западный федеральный округ,100.0,2.8,7.3,18.3,2.9,0.8,4.7,11.8,10.1,1.1,3.5,0.4,12.8,4.8,2.8,5.9,3.2,5.1,1.2,0.5,0.0
Республика Карелия,100.0,5.4,18.8,18.4,2.6,0.7,3.4,6.0,9.4,0.9,1.6,0.2,8.2,2.0,1.7,9.5,3.9,6.2,0.8,0.3,0.0
Республика Коми,100.0,1.5,43.8,9.2,2.3,0.5,4.0,4.3,6.6,0.6,1.1,0.1,5.3,1.6,4.9,6.1,3.0,4.2,0.6,0.3,0.0
Архангельская область,100.0,3.5,32.3,15.5,1.9,0.4,4.9,6.0,9.4,1.0,0.9,0.2,6.9,0.8,0.9,7.3,2.7,4.5,0.6,0.3,0.0
Ненецкий автономный округ,100.0,0.3,79.2,0.2,0.8,0.0,5.8,0.7,5.9,0.3,0.2,0.0,0.7,0.2,0.4,3.4,0.6,1.0,0.2,0.1,0.0
Архангельская область без автономного округа,100.0,5.5,4.4,24.5,2.6,0.6,4.4,9.2,11.4,1.4,1.4,0.3,10.5,1.2,1.1,9.6,3.9,6.6,0.9,0.5,0.0
Вологодская область,100.0,3.9,0.0,38.4,2.3,0.9,6.3,11.2,10.8,0.6,1.7,0.2,7.5,2.0,1.3,5.3,2.3,4.0,0.9,0.4,0.0
Калининградская область,100.0,6.2,2.8,20.7,4.4,0.8,5.5,10.3,9.4,1.0,2.5,0.3,15.5,2.9,2.4,6.6,3.0,4.1,1.0,0.6,0.0
Ленинградская область,100.0,4.4,0.6,28.9,6.7,0.7,9.1,9.7,13.6,0.8,0.7,0.1,9.2,2.5,1.7,4.2,2.1,3.6,1.0,0.4,0.0
Мурманская область,100.0,12.4,10.3,17.9,3.3,0.6,7.1,7.4,8.4,1.5,1.1,0.1,4.9,2.9,1.5,10.3,3.1,5.7,1.0,0.5,0.0
Новгородская область,100.0,7.4,0.2,33.9,3.6,0.9,5.7,12.7,6.7,1.2,1.4,0.2,8.2,1.6,0.7,5.9,3.1,4.9,1.3,0.4,0.0
Псковская область,100.0,11.7,0.4,15.6,3.2,1.4,5.8,13.6,8.4,1.6,2.8,0.3,10.4,1.2,1.4,10.2,3.8,6.1,1.2,0.9,0.0
г. Санкт-Петербург,100.0,0.1,0.3,13.9,2.1,0.9,3.1,15.3,10.4,1.3,5.8,0.5,17.8,7.8,3.8,5.2,3.7,5.8,1.5,0.7,0.0
Южный федеральный округ,100.0,9.3,5.9,13.8,2.8,0.7,6.2,13.6,9.6,2.0,2.2,0.2,11.9,2.5,2.0,6.7,3.4,5.2,1.3,0.7,0.0
Республика Адыгея,100.0,11.7,1.4,13.1,1.3,0.6,7.0,13.9,3.9,1.7,1.8,0.1,18.3,2.3,2.7,7.9,5.0,5.9,1.2,0.2,0.0
Республика Калмыкия,100.0,22.6,1.3,0.8,0.9,0.3,6.9,5.2,24.1,0.3,1.9,0.1,6.0,0.7,1.5,15.7,5.1,5.4,1.0,0.2,0.0
Республика Крым,100.0,6.1,3.1,8.4,4.0,1.3,9.7,15.0,4.0,3.0,2.1,0.2,14.8,2.0,1.7,9.3,4.0,8.2,1.6,1.5,0.0
Краснодарский край,100.0,8.8,0.5,11.6,2.1,0.7,6.3,14.6,14.5,2.9,2.5,0.2,12.5,3.0,2.6,5.7,3.5,5.5,1.8,0.7,0.0
Астраханская область,100.0,5.3,47.9,4.3,2.3,0.3,4.2,6.1,7.0,0.9,1.0,0.1,5.3,1.0,1.6,6.3,2.3,3.4,0.4,0.3,0.0
Волгоградская область,100.0,11.5,5.2,24.5,2.2,0.9,5.1,12.0,5.2,0.7,2.3,0.2,9.5,2.4,1.6,7.4,3.5,4.5,0.7,0.6,0.0
Ростовская область,100.0,10.7,1.2,17.7,4.3,0.7,6.4,16.0,7.2,1.3,2.1,0.2,12.6,2.4,1.7,5.9,3.5,4.8,0.8,0.5,0.0
г. Севастополь,100.0,2.9,0.8,5.5,5.2,1.0,6.1,12.0,2.1,2.4,2.1,0.0,26.3,3.1,2.3,16.6,2.6,5.1,2.2,1.7,0.0
Северо-Кавказский федеральный округ,100.0,14.1,0.6,7.3,2.7,0.5,10.7,15.8,5.2,3.0,2.0,0.1,10.0,1.1,1.0,11.0,6.0,7.2,1.1,0.6,0.0
Республика Дагестан,100.0,16.7,0.5,4.7,1.3,0.1,15.5,20.3,5.3,5.1,1.6,0.0,7.8,0.4,0.9,6.5,5.8,5.7,1.0,0.8,0.0
Республика Ингушетия,100.0,10.5,1.4,2.8,1.6,0.8,11.9,10.1,2.0,0.3,2.4,0.0,8.0,0.4,0.6,25.5,10.0,8.0,3.5,0.2,0.0
Кабардино-Балкарская Республика,100.0,17.3,0.1,8.3,2.7,0.4,10.8,15.2,2.8,1.7,2.1,0.1,8.8,1.4,1.1,12.1,7.0,6.7,1.1,0.3,0.0
Карачаево-Черкесская Республика,100.0,18.0,1.5,10.2,6.4,0.6,7.0,8.8,2.1,0.8,1.7,0.0,8.4,1.7,1.6,14.8,7.1,6.9,1.8,0.6,0.0
Республика Северная Осетия – Алания,100.0,13.5,0.3,4.9,0.8,0.9,6.9,14.8,4.2,1.4,2.6,0.0,16.8,0.8,0.9,15.7,6.2,6.9,1.6,0.8,0.0
Чеченская Республика,100.0,10.2,1.0,2.0,2.5,0.3,11.7,12.5,3.4,2.9,1.7,0.0,10.8,0.7,0.5,18.9,10.7,8.4,1.5,0.3,0.0
Ставропольский край,100.0,12.5,0.5,11.4,4.0,0.8,7.3,14.8,6.9,2.3,2.2,0.2,11.0,1.8,1.1,9.6,4.0,8.3,0.7,0.6,0.0
